ID,name,FoodGroup,Calories,Fat,Protein,Carbohydrate
4139,Rice Brown With Carrots Dark Green Vegetables And Tomatoes And/or Tomato-Based Sauce Fat Added In Cooking,Prepared Meals,113,2.52,2.33,20.42
4140,Pasta With Tomato-Based Sauce Meat And Added Vegetables Home Recipe,Prepared Meals,123,2.51,5.86,18.68
4146,Rice Brown With Dark Green Vegetables And Tomatoes And/or Tomato-Based Sauce Ns As To Fat Added In Cooking,Prepared Meals,111,2.49,2.36,19.93
4147,Rice Brown With Dark Green Vegetables And Tomatoes And/or Tomato-Based Sauce Fat Added In Cooking,Prepared Meals,111,2.49,2.36,19.93
4148,Rice Brown With Carrots And Tomatoes And/or Tomato-Based Sauce Ns As To Fat Added In Cooking,Prepared Meals,111,2.47,2.2,20.03
4149,Rice Brown With Carrots And Tomatoes And/or Tomato-Based Sauce Fat Added In Cooking,Prepared Meals,111,2.47,2.2,20.03
4150,Potato Salad Made With Light Creamy Dressing,Prepared Meals,95,2.47,1.62,16.94
4151,Macaroni And Cheese Canned Entree,Prepared Meals,82,2.46,3.38,11.52
4152,Rice White With Dark Green Vegetables Ns As To Fat Added In Cooking,Prepared Meals,122,2.41,2.55,22.38
4153,Rice White With Dark Green Vegetables Fat Added In Cooking,Prepared Meals,122,2.41,2.55,22.38
4154,Moo Goo Gai Pan,Prepared Meals,74,2.41,7.28,6.39
4155,Rice White With Peas And Carrots Ns As To Fat Added In Cooking,Prepared Meals,125,2.4,2.72,23.01
4156,Rice White With Peas And Carrots Fat Added In Cooking,Prepared Meals,125,2.4,2.72,23.01
4157,Rice Brown With Soy-Based Sauce Ns As To Fat Added In Cooking,Prepared Meals,113,2.39,2.15,20.68
4158,Rice Brown With Soy-Based Sauce Fat Added In Cooking,Prepared Meals,113,2.39,2.15,20.68
4159,Spanish Rice Mix Dry Mix Prepared (With Canola/vegetable Oil Blend Or Diced Tomatoes And Margarine),Prepared Meals,125,2.38,3.27,22.74
4160,Rice White With Carrots And Dark Green Vegetables Ns As To Fat Added In Cooking,Prepared Meals,122,2.38,2.35,22.51
4161,Rice White With Carrots And Dark Green Vegetables Fat Added In Cooking,Prepared Meals,122,2.38,2.35,22.51
4162,Pasta With Sliced Franks In Tomato Sauce Canned Entree,Prepared Meals,90,2.38,4.37,12.7
4163,Rice Brown With Tomatoes And/or Tomato Based Sauce Ns As To Fat Added In Cooking,Prepared Meals,104,2.37,2.13,18.77
4164,Rice Brown With Tomatoes And/or Tomato Based Sauce Fat Added In Cooking,Prepared Meals,104,2.37,2.13,18.77
4165,Rice White With Other Vegetables Ns As To Fat Added In Cooking,Prepared Meals,123,2.36,2.3,22.69
4166,Rice White With Other Vegetables Fat Added In Cooking,Prepared Meals,123,2.36,2.3,22.69
4167,Rice White With Carrots Ns As To Fat Added In Cooking,Prepared Meals,123,2.36,2.16,22.65
4168,Rice White With Carrots Fat Added In Cooking,Prepared Meals,123,2.36,2.16,22.65
4169,Rice White With Vegetables And Gravy Ns As To Fat Added In Cooking,Prepared Meals,106,2.36,2.16,18.66
4170,Rice White With Vegetables And Gravy Fat Added In Cooking,Prepared Meals,106,2.36,2.16,18.66
4171,Biryani With Chicken,Prepared Meals,102,2.36,7.04,13.42
4172,Rice White With Peas Ns As To Fat Added In Cooking,Prepared Meals,134,2.35,3.28,24.37
4173,Rice White With Peas Fat Added In Cooking,Prepared Meals,134,2.35,3.28,24.37
4174,Potato Salad With Egg Made With Light Italian Dressing,Prepared Meals,94,2.35,2.8,15.48
4175,Pasta With Tomato-Based Sauce And Beans Or Lentils,Prepared Meals,125,2.33,5.22,20.73
4176,Ravioli Cheese-Filled With Tomato Sauce,Prepared Meals,98,2.3,3.98,15.22
4177,Rice White With Carrots Dark Green Vegetables And Tomatoes And/or Tomato-Based Sauce Ns As To Fat Added In Cooking,Prepared Meals,117,2.29,2.23,21.4
4178,Rice White With Carrots Dark Green Vegetables And Tomatoes And/or Tomato-Based Sauce Fat Added In Cooking,Prepared Meals,117,2.29,2.23,21.4
4179,Rice White With Dark Green Vegetables And Tomatoes And/or Tomato-Based Sauce Ns As To Fat Added In Cooking,Prepared Meals,114,2.26,2.26,20.8
4180,Rice White With Dark Green Vegetables And Tomatoes And/or Tomato-Based Sauce Fat Added In Cooking,Prepared Meals,114,2.26,2.26,20.8
4181,Veal Lasagna Diet Frozen Meal,Prepared Meals,89,2.26,6.64,10.63
4182,Rice White With Carrots And Tomatoes And/or Tomato-Based Sauce Ns As To Fat Added In Cooking,Prepared Meals,114,2.24,2.08,20.92
4183,Rice White With Carrots And Tomatoes And/or Tomato-Based Sauce Fat Added In Cooking,Prepared Meals,114,2.24,2.08,20.92
4184,Flavored Pasta,Prepared Meals,87,2.23,2.46,14.44
4185,Lasagna With Meat & Sauce Low-Fat Frozen Entree,Prepared Meals,101,2.23,6.81,13.5
4186,Dirty Rice,Prepared Meals,112,2.21,5.13,17.29
4187,Lo Mein With Shrimp,Prepared Meals,121,2.21,8.56,16.24
4188,Chicken In Orange Sauce With Almond Rice Diet Frozen Meal,Prepared Meals,133,2.19,11.33,16.05
4189,Rice White With Soy-Based Sauce Ns As To Fat Added In Cooking,Prepared Meals,116,2.16,2.03,21.62
4190,Rice White With Soy-Based Sauce Fat Added In Cooking,Prepared Meals,116,2.16,2.03,21.62
4191,Flavored Rice Brown And Wild,Prepared Meals,106,2.16,2.76,19.28
4192,Pasta Whole Grain With Tomato-Based Sauce And Poultry Home Recipe,Prepared Meals,112,2.14,6.14,18.5
4193,Rice White With Tomatoes And/or Tomato-Based Sauce Ns As To Fat Added In Cooking,Prepared Meals,106,2.13,2,19.42
4194,Rice White With Tomatoes And/or Tomato-Based Sauce Fat Added In Cooking,Prepared Meals,106,2.13,2,19.42
4195,Pasta Whole Grain With Tomato-Based Sauce Poultry And Added Vegetables Home Recipe,Prepared Meals,110,2.03,6.14,18.28
4196,Rice Brown With Vegetables Soy-Based Sauce Ns As To Fat Added In Cooking,Prepared Meals,105,1.99,2.28,19.32
4197,Rice Brown With Vegetables Soy-Based Sauce Fat Added In Cooking,Prepared Meals,105,1.99,2.28,19.32
4198,Macaroni Or Pasta Salad Made With Light Italian Dressing,Prepared Meals,115,1.98,3.69,20.59
4199,Chicken Chow Mein With Rice Diet Frozen Meal,Prepared Meals,91,1.98,6.06,11.86
4200,Beef Macaroni With Tomato Sauce Frozen Entree Reduced Fat,Prepared Meals,113,1.96,5.89,17.99
4201,Tortellini Meat-Filled With Tomato Sauce Canned,Prepared Meals,91,1.89,3.5,15.32
4202,Macaroni Or Noodles With Cheese Easy Mac Type,Prepared Meals,110,1.86,3.26,20.1
4203,Stuffed Shells With Fish And/or Shellfish With Tomato Sauce,Prepared Meals,116,1.85,8.75,15.94
4204,Hopping John,Prepared Meals,126,1.84,7.04,20.16
4205,Potato Mashed From School Lunch,Prepared Meals,76,1.77,2.14,13.14
4206,Rice White With Vegetables Soy-Based Sauce Ns As To Fat Added In Cooking,Prepared Meals,106,1.75,2.19,19.91
4207,Rice White With Vegetables Soy-Based Sauce Fat Added In Cooking,Prepared Meals,106,1.75,2.19,19.91
4208,Pasta With Tomato-Based Sauce And Poultry Home Recipe,Prepared Meals,117,1.74,6.04,18.91
4209,Potato Salad With Egg Made With Any Type Of Fat Free Dressing,Prepared Meals,89,1.74,2.67,16
4210,Sushi Topped With Salmon,Prepared Meals,107,1.74,8.92,13.39
4211,Shrimp Chow Mein Or Chop Suey No Noodles,Prepared Meals,69,1.69,8.8,4.27
4212,Pasta Whole Grain With Tomato-Based Sauce Home Recipe,Prepared Meals,101,1.66,3.78,19.17
4213,Pasta Whole Grain With Tomato-Based Sauce And Seafood Home Recipe,Prepared Meals,108,1.65,5.67,18.76
4214,Pasta With Tomato-Based Sauce Poultry And Added Vegetables Home Recipe,Prepared Meals,115,1.62,6.04,18.68
4215,Pasta With Sauce Meatless School Lunch,Prepared Meals,102,1.6,3.78,19.44
4216,Rice Bowl With Chicken Frozen Entree Prepared (Includes Fried Teriyaki And Sweet And Sour Varieties),Prepared Meals,126,1.56,5.65,22.46
4217,Noodles With Vegetables In Tomato-Based Sauce Diet Frozen Meal,Prepared Meals,66,1.56,3.28,10.63
4218,Shrimp Teriyaki,Prepared Meals,120,1.56,21.62,3.34
4219,Pasta Whole Grain With Tomato-Based Sauce Seafood And Added Vegetables Home Recipe,Prepared Meals,105,1.53,5.66,18.54
4220,Pasta Whole Grain With Tomato-Based Sauce And Added Vegetables Home Recipe,Prepared Meals,98,1.52,3.77,18.9
4221,Tortellini Cheese-Filled Meatless With Tomato Sauce Canned,Prepared Meals,91,1.48,3.52,15.83
4222,Sushi Roll Avocado,Prepared Meals,92,1.46,1.81,17.71
4275,Sushi Roll Vegetable,Prepared Meals,92,1.46,1.81,17.71
4277,Ravioli Cheese-Filled Canned,Prepared Meals,77,1.45,2.48,13.64
4278,Rice Brown With Gravy Fat Not Added In Cooking,Prepared Meals,101,1.44,2.15,19.64
4279,Sushi Roll Salmon,Prepared Meals,103,1.28,6.88,15.3
4292,Pasta With Tomato-Based Sauce Home Recipe,Prepared Meals,106,1.26,3.68,19.58
4293,Pasta With Tomato-Based Sauce And Seafood Home Recipe,Prepared Meals,112,1.25,5.57,19.17
4294,Rice Brown With Vegetables And Gravy Fat Not Added In Cooking,Prepared Meals,94,1.21,2.28,18.46
4295,Flavored Rice Mixture With Cheese,Prepared Meals,124,1.2,2.99,25.22
4296,Potato Salad Made With Light Italian Dressing,Prepared Meals,85,1.2,1.44,17.48
4297,Macaroni Or Pasta Salad Made With Any Type Of Fat Free Dressing,Prepared Meals,134,1.14,4.26,26.54
4298,Pasta With Tomato-Based Sauce Seafood And Added Vegetables Home Recipe,Prepared Meals,110,1.13,5.57,18.95
4299,Pasta With Tomato-Based Sauce And Added Vegetables Home Recipe,Prepared Meals,103,1.11,3.68,19.3
4300,Rice Brown With Corn Fat Not Added In Cooking,Prepared Meals,117,1.08,2.88,24.48
4301,Rice White With Gravy Fat Not Added In Cooking,Prepared Meals,102,1.06,2.02,20.44
4302,Potato From Puerto Rican Chicken Fricassee With Sauce,Prepared Meals,72,1.02,1.35,14.65
4303,Spanish Rice Fat Not Added In Cooking,Prepared Meals,101,1.01,2.92,19.92
4304,Spaghetti With Meat Sauce Frozen Entree,Prepared Meals,90,1.01,5.05,15.24
4305,Chow Fun Noodles With Vegetables Meatless,Prepared Meals,74,0.97,1.56,14.46
4306,Congee With Meat Poultry And/or Seafood,Prepared Meals,53,0.94,4.81,6.12
4307,Congee With Meat Poultry And/or Seafood And Vegetables,Prepared Meals,52,0.92,4.62,6.09
4308,Potato From Puerto Rican Style Stuffed Pot Roast With Gravy,Prepared Meals,74,0.91,2.44,14.55
4309,Potato From Puerto Rican Beef Stew With Gravy,Prepared Meals,74,0.91,2.44,14.55
4310,Chicken In Soy-Based Sauce Rice And Vegetables Frozen Meal,Prepared Meals,109,0.88,6.72,18.03
4311,Rice White With Vegetables And Gravy Fat Not Added In Cooking,Prepared Meals,95,0.87,2.19,18.95
4312,Rice Brown With Peas And Carrots Fat Not Added In Cooking,Prepared Meals,106,0.85,2.8,22.17
4313,Rice Brown With Dark Green Vegetables Fat Not Added In Cooking,Prepared Meals,104,0.85,2.65,21.62
4314,Rice Brown With Carrots And Dark Green Vegetables Fat Not Added In Cooking,Prepared Meals,104,0.82,2.48,21.73
4328,Rice Brown With Peas Fat Not Added In Cooking,Prepared Meals,114,0.81,3.29,23.35
4329,Rice Brown With Other Vegetables Fat Not Added In Cooking,Prepared Meals,104,0.81,2.44,21.89
4330,Rice Brown With Carrots Fat Not Added In Cooking,Prepared Meals,104,0.8,2.31,21.84
4331,Rice Brown With Carrots Dark Green Vegetables And Tomatoes And/or Tomato-Based Sauce Fat Not Added In Cooking,Prepared Meals,100,0.8,2.37,20.78
4332,Rice Brown With Dark Green Vegetables And Tomatoes And/or Tomato-Based Sauce Fat Not Added In Cooking,Prepared Meals,97,0.8,2.4,20.28
4333,Rice Brown With Carrots And Tomatoes And/or Tomato-Based Sauce Fat Not Added In Cooking,Prepared Meals,97,0.78,2.24,20.38
4334,Rice Brown With Soy-Based Sauce Fat Not Added In Cooking,Prepared Meals,101,0.77,2.18,21.02
4335,Rice Brown With Tomatoes And/or Tomato Based Sauce Fat Not Added In Cooking,Prepared Meals,92,0.76,2.16,19.08
4336,Pasta With Tomato Sauce No Meat Canned,Prepared Meals,71,0.71,2.22,13.94
4337,Sushi Topped With Shrimp,Prepared Meals,103,0.7,9.1,13.92
4338,Sushi Nfs,Prepared Meals,93,0.67,2.92,18.42
4339,Sushi Roll California,Prepared Meals,93,0.67,2.92,18.42
4340,Rice Brown With Vegetables Soy-Based Sauce Fat Not Added In Cooking,Prepared Meals,94,0.66,2.31,19.58
4341,Rice White With Corn Fat Not Added In Cooking,Prepared Meals,121,0.59,2.86,26.2
4342,Potato Salad Made With Any Type Of Fat Free Dressing,Prepared Meals,81,0.58,1.38,17.94
4343,Sushi Roll Shrimp,Prepared Meals,100,0.55,7.01,15.67
4344,Seaweed Prepared With Soy Sauce,Prepared Meals,43,0.5,4.15,7.52
4345,Cake Or Pancake Made With Rice Flour And/or Dried Beans,Prepared Meals,128,0.35,6.36,24.98
4346,Rice White With Lentils Fat Not Added In Cooking,Prepared Meals,115,0.33,5.76,22.47
4347,Rice White With Peas And Carrots Fat Not Added In Cooking,Prepared Meals,109,0.31,2.78,23.5
4348,Rice White With Dark Green Vegetables Fat Not Added In Cooking,Prepared Meals,106,0.31,2.6,22.86
4349,Rice White With Dark Green Vegetables And Tomatoes And/or Tomato-Based Sauce Fat Not Added In Cooking,Prepared Meals,98,0.29,2.3,21.22
4350,Rice White With Carrots And Dark Green Vegetables Fat Not Added In Cooking,Prepared Meals,106,0.28,2.4,23
4351,Rice White With Soy-Based Sauce Fat Not Added In Cooking,Prepared Meals,102,0.28,2.06,22.04
4352,Rice White With Carrots Dark Green Vegetables And Tomatoes And/or Tomato-Based Sauce Fat Not Added In Cooking,Prepared Meals,101,0.28,2.27,21.84
5475,Sushi Topped With Tuna,Prepared Meals,100,0.28,9.66,13.39
5693,Rice White With Tomatoes And/or Tomato-Based Sauce Fat Not Added In Cooking,Prepared Meals,91,0.27,2.04,19.79
5709,Sushi Topped With Crab,Prepared Meals,95,0.27,3.85,18.59
5710,Rice White With Peas Fat Not Added In Cooking,Prepared Meals,118,0.26,3.35,24.89
5711,Rice White With Other Vegetables Fat Not Added In Cooking,Prepared Meals,106,0.26,2.35,23.18
5762,Rice White With Carrots And Tomatoes And/or Tomato-Based Sauce Fat Not Added In Cooking,Prepared Meals,98,0.26,2.12,21.34
5763,Rice White With Carrots Fat Not Added In Cooking,Prepared Meals,106,0.25,2.2,23.14
5778,Rice White With Vegetables Soy-Based Sauce Fat Not Added In Cooking,Prepared Meals,94,0.25,2.23,20.21
5779,Sushi Roll Tuna,Prepared Meals,97,0.25,7.4,15.3
5780,Congee With Vegetables,Prepared Meals,35,0.1,0.76,7.69
2095,Tortilla Chips Yellow Plain Salted,Snacks,497,22.33,6.62,67.38
2096,Snacks Potato Chips Cheese-Flavor,Snacks,496,27.2,8.5,57.7
2097,Snacks Fritolay Sunchips Multigrain French Onion Flavor,Snacks,496,22.15,8.68,65.49
2098,Popcorn Microwave Low Sodium,Snacks,496,27.88,8.93,57.64
2099,Popcorn Microwave Unsalted,Snacks,496,27.88,8.93,57.64
2100,Snacks Granola Bars Hard Almond,Snacks,495,25.5,7.7,62
2101,Vegetable Chips,Snacks,495,26.56,4.72,59.2
2102,Snacks Fritolay Sunchips Multigrain Snack Original Flavor,Snacks,491,21.11,7.95,67.26
2103,Snacks Fritolay Sunchips Multigrain Snack Harvest Cheddar Flavor,Snacks,491,22.22,8.08,64.7
2104,Tortilla Chips Reduced Sodium,Snacks,489,19.84,9.35,68.08
2105,Snacks Potato Chips Barbecue-Flavor,Snacks,487,31.06,6.51,55.92
2106,Potato Chips Without Salt Reduced Fat,Snacks,487,20.8,7.1,67.8
2107,Snacks Granola Bar General Mills Nature Valley Sweet&salty Nut Peanut,Snacks,487,22.86,9.14,61.14
2108,Popcorn Ready-To-Eat Packaged Low Sodium,Snacks,486,23.44,10.27,61.73
2109,Popcorn Ready-To-Eat Packaged Unsalted,Snacks,486,23.44,10.27,61.73
2110,Trail Mix,Snacks,484,31.9,14.2,44.9
2111,Snacks Trail Mix Regular With Chocolate Chips Unsalted Nuts And Seeds,Snacks,484,31.9,14.2,44.9
2112,Snacks Granola Bars Hard Peanut Butter,Snacks,483,23.8,9.8,62.3
2113,Crackers Sandwich Peanut Butter Filled (Ritz),Snacks,482,25,7.5,57.14
2114,Popcorn Ready-To-Eat Packaged Plain,Snacks,482,23.26,10.19,61.24
2115,Potato Chips Reduced Fat,Snacks,482,20.59,7.03,67.13
2116,Potato Chips Fat Free,Snacks,482,20.59,7.03,67.13
2117,Snacks Tortilla Chips Taco-Flavor,Snacks,480,24.2,7.9,63.1
2118,Snacks Granola Bar Quaker Dipps All Flavors,Snacks,480,20.42,7.52,64.96
2119,Crackers Sandwich Cheese Filled (Ritz),Snacks,479,25.09,7.66,56.05
2120,Snacks Vegetable Chips Made From Garden Vegetables,Snacks,473,23.3,5.32,60.43
2121,Snacks Tortilla Chips Plain White Corn Salted,Snacks,472,20.68,7.1,67.78
2122,Snacks Granola Bars Hard Plain,Snacks,471,19.8,10.1,64.4
2123,Snacks Potato Chips Reduced Fat,Snacks,471,20.8,7.1,66.9
2124,Tortilla Chips Cool Ranch Flavor (Doritos),Snacks,470,20.58,7.06,67.44
2125,Snacks Potato Chips White Restructured Baked,Snacks,469,18.2,5,71.4
2126,Snack Pretzel Hard Chocolate Coated,Snacks,467,17.64,7.05,70.07
2127,Potato Chips Baked Flavored,Snacks,467,18.11,4.97,71.04
2128,Potato Chips Popped Flavored,Snacks,467,18.11,4.97,71.04
2129,Snacks Granola Bars Soft Coated Milk Chocolate Coating Chocolate Chip,Snacks,466,24.9,5.8,63.8
2130,Snacks Tortilla Chips Light (Baked With Less Oil),Snacks,465,15.2,8.7,73.4
2131,Breakfast Bars Oats Sugar Raisins Coconut (Include Granola Bar),Snacks,464,17.6,9.8,66.7
2132,Snacks M&m Mars Combos Snacks Cheddar Cheese Pretzel,Snacks,463,16.92,9.85,66.5
2133,Snacks M&m Mars Kudos Whole Grain Bars Peanut Butter,Snacks,463,20.78,5.88,64.69
2134,Snacks Trail Mix Regular,Snacks,462,29.4,13.8,44.9
2135,Snacks Trail Mix Regular Unsalted,Snacks,462,29.4,13.8,44.9
2136,Snacks Crisped Rice Bar Almond,Snacks,458,20.4,7,64.6
2137,Snacks Pretzels Hard Confectioners Coating Chocolate-Flavor,Snacks,457,16.7,7.5,70.9
2138,Snacks Pita Chips Salted,Snacks,457,15.2,11.79,68.26
2139,Snacks Granola Bars Soft Almond Confectioners Coating,Snacks,455,20,8.6,60.13
2140,Snacks Granola Bars Soft Uncoated Nut And Raisin,Snacks,454,20.4,8,63.6
2141,Popcorn Chips Sweet Flavors,Snacks,454,13.48,8.75,74.63
2142,Pretzels Hard Peanut Butter Filled,Snacks,454,19,14.04,60.79
2143,Snacks Granola Bites Mixed Flavors,Snacks,451,17.5,7.17,66.27
2144,Snacks Bagel Chips Plain,Snacks,451,15.14,12.34,66.36
2145,Bean Chips,Snacks,450,21.6,14.4,53.18
2146,Pretzels Hard Coated Gluten Free,Snacks,449,15.5,3.76,75.14
2147,Snacks Granola Bars Soft Uncoated Raisin,Snacks,448,17.8,7.6,66.4
2148,Tortilla Chips Low Fat Baked Without Fat,Snacks,448,5.7,11,80.2
2149,Snacks Kraft Cornnuts Plain,Snacks,446,15.64,8.5,71.86
2150,Snacks Granola Bar Kashi Tlc Bar Crunchy Mixed Flavors,Snacks,446,15,15,62.78
2151,Snacks Tortilla Chips Nacho-Flavor Reduced Fat,Snacks,445,15.2,8.7,71.6
2152,Snacks Granola Bars Soft Uncoated Plain,Snacks,443,17.2,7.4,67.3
2153,Snacks Trail Mix Tropical,Snacks,442,17.1,6.3,65.6
2154,Pretzels Hard White Chocolate Coated,Snacks,442,14.12,5.94,74.77
2155,Crackers Woven Wheat,Snacks,441,15.26,8.94,70.14
2156,Crackers Woven Wheat Plain (Triscuit),Snacks,441,15.26,8.94,70.14
2157,Crackers Woven Wheat Flavored (Triscuit),Snacks,441,15.26,8.94,70.14
2158,Crackers Wheat,Snacks,441,15.26,8.94,70.14
2159,Crackers Wheat Plain (Wheat Thins),Snacks,441,15.26,8.94,70.14
2160,Crackers Wheat Flavored (Wheat Thins),Snacks,441,15.26,8.94,70.14
2161,Snacks Granola Bars Hard Chocolate Chip,Snacks,438,16.3,7.3,72.1
2162,Tortilla Chips Popped,Snacks,438,11.19,10.19,74.18
2163,Popcorn Chips Plain,Snacks,438,11.19,10.19,74.18
2164,Popcorn Chips Other Flavors,Snacks,438,11.19,10.19,74.18
2165,Popcorn Ready-To-Eat Packaged Plain Light,Snacks,437,14.92,11.33,68.08
2166,Snacks Cornnuts Barbecue-Flavor,Snacks,436,14.3,9,71.7
2167,Popcorn Ready-To-Eat Packaged Butter Flavored Light,Snacks,435,14.85,11.28,67.78
2168,Popcorn Ready-To-Eat Packaged Cheese Flavored Light,Snacks,435,14.85,11.28,67.78
2169,Pretzels Hard Yogurt Coated,Snacks,435,12.1,5.94,76.64
2170,Popcorn Ready-To-Eat Packaged Kettle Corn Light,Snacks,433,13.01,8.94,73.49
2171,Snacks Granola Bars Soft Uncoated Peanut Butter And Chocolate Chip,Snacks,432,20,9.8,62.2
2172,Cheese Puffs And Twists Corn Based Baked Low Fat,Snacks,432,12.1,8.5,72.35
2173,Snacks Peas Roasted Wasabi-Flavored,Snacks,432,14.11,14.11,62.2
2174,Snacks Popcorn Caramel-Coated Without Peanuts,Snacks,431,12.8,3.8,79.1
2175,Breadsticks Hard Reduced Sodium,Snacks,431,10.63,10.64,71.63
2176,Popcorn Microwave Low Fat And Sodium,Snacks,429,9.5,12.6,73.39
2177,Snacks Granola Bar Kashi Tlc Bar Chewy Mixed Flavors,Snacks,429,15.71,18.57,53.26
2178,Crackers Rice And Nuts,Snacks,429,8.85,10.78,77.41
2179,Popcorn Caramel Coated,Snacks,428,12.7,3.77,78.47
2180,Snack Mix Plain (Chex Mix),Snacks,428,10,8.83,75.69
2181,Snacks Granola Bars Soft Uncoated Chocolate Chip Graham And Marshmallow,Snacks,427,15.5,6.1,70.8
2182,Crackers Breakfast Biscuit,Snacks,427,15.06,7.12,71.01
2183,Snacks Granola Bars Soft Uncoated Peanut Butter,Snacks,426,15.8,10.5,64.4
2184,Snacks Shrimp Cracker,Snacks,426,17.86,7.14,59.09
2185,Formulated Bar Zone Perfect Classic Crunch Bar Mixed Flavors,Snacks,426,14,30,45
2186,Popcorn Air-Popped With Added Butter Or Margarine,Snacks,425,14.87,11.02,65.75
2187,Snacks Popcorn Microwave Low Fat,Snacks,424,9.5,12.6,72
2188,Snacks Granola Bar General Mills Nature Valley With Yogurt Coating,Snacks,423,11.43,5.71,74.29
2189,Formulated Bar Mars Snackfood Us Snickers Marathon Multigrain Crunch Bar,Snacks,422,13.18,18.49,57.27
2190,Nutrition Bar (Tiger's Milk),Snacks,422,14.29,16.8,56.46
2191,Nutrition Bar (Zone Perfect Classic Crunch),Snacks,422,14,30,45
2192,Nutrition Bar Or Meal Replacement Bar Nfs,Snacks,422,14,30,45
2193,Popcorn Microwave Kettle Corn Light,Snacks,422,9.31,12.35,72.38
2194,Popcorn Microwave Plain Light,Snacks,421,9.43,12.51,71.5
2195,Popcorn Microwave Butter Flavored Light,Snacks,421,9.43,12.51,71.5
3469,Snacks M&m Mars Kudos Whole Grain Bar Chocolate Chip,Snacks,420,13.02,4.47,72.31
3505,Snacks Granola Bars Soft Uncoated Chocolate Chip,Snacks,418,16.57,5.65,70.2
3506,Snacks Kellogg Kelloggs Rice Krispies Treats Squares,Snacks,417,9,3.4,80.5
3522,Snacks Tortilla Chips Low Fat Unsalted,Snacks,416,5.7,11,80.1
3523,Rice Crackers,Snacks,416,5,10,82.64
3524,Crackers Saltine Reduced Sodium,Snacks,416,8.75,9.39,73.48
3525,Snacks M&m Mars Kudos Whole Grain Bar M&Ms Milk Chocolate,Snacks,415,11.95,3.78,73.01
3526,Snacks Granola Bar General Mills Nature Valley Chewy Trail Mix,Snacks,415,11.43,5.71,72.27
3527,Snack Balance Original Bar,Snacks,415,12,28,48.73
3528,Formulated Bar Mars Snackfood Us Snickers Marathon Protein Performance Bar Caramel Nut Rush,Snacks,415,12.5,25,50.5
3529,Snacks Candy Bits Yogurt Covered With Vitamin C,Snacks,415,7.5,0,86.9
3530,Cereal Or Granola Bar With Rice Cereal,Snacks,414,9,3.4,80.5
3531,Milk And Cereal Bar,Snacks,413,10.98,6.47,72.05
3532,Snacks Granola Bar Chewy Reduced Sugar All Flavors,Snacks,412,12.5,5.55,69.4
3533,Formulated Bar South Beach Protein Bar,Snacks,412,15.17,30.34,38.4
3534,Crackers Flatbread,Snacks,412,8.25,9.85,75.23
3535,Breadsticks Hard Whole Wheat,Snacks,411,10.87,13.23,68.15
3536,Tortilla Chips Reduced Fat Plain,Snacks,411,5.63,10.86,79.07
3537,Tortilla Chips Reduced Fat Flavored,Snacks,411,5.63,10.86,79.07
3538,Snacks Beef Jerky Chopped And Formed,Snacks,410,25.6,33.2,11
3539,Rice And Wheat Cereal Bar,Snacks,409,9.09,9.09,72.73
3540,Nutrition Bar (Clif Kids Organic Zbar),Snacks,409,9.72,5.55,74.72
3541,Snacks Granola Bar Quaker Chewy 90 Calorie Bar,Snacks,408,8.33,4.17,79.17
3542,Snacks Crisped Rice Bar Chocolate Chip,Snacks,404,13.5,5.1,73
3543,Snacks Nutri-Grain Fruit And Nut Bar,Snacks,403,10.93,9.38,66.72
3544,Formulated Bar Luna Bar Nutz Over Chocolate,Snacks,403,12.19,20.75,52.49
3545,Microwave Popcorn,Snacks,402,6.1,10.72,76.04
3546,Snacks Popcorn Caramel-Coated With Peanuts,Snacks,400,7.8,6.4,80.7
3547,Popcorn Caramel Coated With Nuts,Snacks,397,7.74,6.35,80.06
3548,Formulated Bar Mars Snackfood Us Snickers Marathon Chewy Chocolate Peanut Bar,Snacks,396,13.12,24.29,47.24
3549,Snacks Granola Bar Kashi Golean Crunchy Mixed Flavors,Snacks,393,9.23,17.88,59.58
3550,Pretzels Hard Flavored Gluten Free,Snacks,393,7.58,3.48,77.69
3551,Snacks Rice Cakes Brown Rice Sesame Seed,Snacks,392,3.8,7.6,81.5
3552,Rice Cake Cracker (Include Hain Mini Rice Cakes),Snacks,392,4.3,7.1,81.1
3553,Snacks Rice Cakes Brown Rice Sesame Seed Unsalted,Snacks,392,3.8,7.6,81.5
3554,Snacks Kellogg Kelloggs Low Fat Granola Bar Crunchy Almond/brown Sugar,Snacks,390,7.4,8,78
3555,Snacks Granola Bar Kashi Golean Chewy Mixed Flavors,Snacks,390,7.69,16.67,63.42
3556,Formulated Bar High Fiber Chewy Oats And Chocolate,Snacks,389,10,5,69.82
3557,Snacks Granola Bars Quaker Oatmeal To Go All Flavors,Snacks,389,6.67,6.67,75.47
3558,Snacks Pretzels Gluten- Free Made With Cornstarch And Potato Flour,Snacks,389,6.67,3.52,78.62
3559,Pretzels Hard Flavored,Snacks,388,3.88,9.92,79.44
3560,Snacks Popcorn Air-Popped,Snacks,387,4.54,12.94,77.78
3561,Snacks Rice Cracker Brown Rice Plain,Snacks,387,2.8,8.2,81.5
3562,Snacks Corn Cakes,Snacks,387,2.4,8.1,83.4
3563,Snacks Rice Cakes Brown Rice Multigrain,Snacks,387,3.5,8.5,80.1
3564,Snacks Rice Cakes Brown Rice Plain Unsalted,Snacks,387,2.8,8.2,81.5
